parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
k_b	lin	-5	5		1
k_f	lin	-5	5		1
k_a	lin	-5	5		1
k_4	lin	-5	5		1
k_i1	lin	-5	5		1
k_e1	lin	-5	5		1
k_t2a	lin	-5	5		1
k_t1a	lin	-5	5		1
k_i2	lin	-5	5		1
k_e2	lin	-5	5		1
k_e2a	lin	-5	5		1
c_4a	lin	-5	5		1
c_5a	lin	-5	5		1
c_1a	lin	-5	5		1
k_a1a	lin	-5	5		1
k_d1a	lin	-5	5		1
c_3	lin	-5	5		1
c_1	lin	-5	5		1
k_ikk	lin	-5	5		1
k_tnfr	lin	-5	5		1
TNFRin	lin	-5	5	2.5258	0
IKKin	lin	-5	5	4.7454	0
boundc	lin	-5	5	6.5546	0
