t,P
0.0,2.280373012950985
1000.0,55.59994603389405
2000.0,108.08799801197792
3000.0,161.4885549769225
4000.0,210.1245934371862
5000.0,262.0385283953933
6000.0,309.97678456745524
7000.0,359.29341821683914
8000.0,406.83559802994967
9000.0,447.66589871921025
10000.0,487.90995990488375
11000.0,522.1321905722
12000.0,550.2770844804322
13000.0,571.5238819217287
14000.0,586.1590778780545
15000.0,591.2886547587326
16000.0,597.570969143045
17000.0,602.0464276418222
18000.0,600.9366060674448
19000.0,599.3863046091803
20000.0,598.1330198113659
